season_number,episode_number,title,airdate,rating
1,0,Unaired Pilot,2007-05-27,8.2
1,1,Pilot,2000-10-05,8.3
1,2,The Lorelais' First Day at Chilton,2000-10-12,8.2
1,3,Kill Me Now,2000-10-19,7.9
1,4,The Deer Hunters,2000-10-26,8.1
1,5,Cinnamon's Wake,2000-11-02,8.0
1,6,Rory's Birthday Parties,2000-11-09,8.6
1,7,Kiss and Tell,2000-11-16,8.5
1,8,Love and War and Snow,2000-12-14,8.2
1,9,Rory's Dance,2000-12-20,8.8
1,10,Forgiveness and Stuff,2000-12-21,8.4
1,11,Paris Is Burning,2001-01-11,7.8
1,12,Double Date,2001-01-18,8.0
1,13,Concert Interruptus,2001-02-15,8.2
1,14,That Damn Donna Reed,2001-02-22,8.0
1,15,Christopher Returns,2001-03-01,8.3
1,16,Star-Crossed Lovers and Other Strangers,2001-03-08,8.3
1,17,The Breakup: Part 2,2001-03-15,8.3
1,18,The Third Lorelai,2001-03-22,8.1
1,19,Emily in Wonderland,2001-04-26,8.2
1,20,P.S. I Lo...,2001-05-03,8.2
1,21,"Love, Daisies and Troubadours",2001-05-10,8.7
2,1,"Sadie, Sadie",2001-10-09,8.3
2,2,Hammers and Veils,2001-10-09,8.1
2,3,Red Light on the Wedding Night,2001-10-16,8.1
2,4,The Road Trip to Harvard,2001-10-23,8.3
2,5,Nick & Nora/Sid & Nancy,2001-10-30,8.3
2,6,Presenting Lorelai Gilmore,2001-11-06,8.2
2,7,"Like Mother, Like Daughter",2001-11-13,8.4
2,8,The Ins and Outs of Inns,2001-11-20,8.1
2,9,"Run Away, Little Boy",2001-11-27,8.1
2,10,The Bracebridge Dinner,2001-12-11,8.7
2,11,Secrets and Loans,2002-01-22,7.8
2,12,Richard in Stars Hollow,2002-01-29,8.1
2,13,"A-Tisket, A-Tasket",2002-02-05,8.6
2,14,It Should've Been Lorelai,2002-02-12,8.0
2,15,Lost and Found,2002-02-26,8.2
2,16,There's the Rub,2002-04-09,8.5
2,17,Dead Uncles and Vegetables,2002-04-16,8.2
2,18,Back in the Saddle Again,2002-04-23,8.0
2,19,Teach Me Tonight,2002-04-30,8.7
2,20,Help Wanted,2002-05-07,8.1
2,21,Lorelai's Graduation Day,2002-05-14,8.7
2,22,I Can't Get Started,2002-05-21,8.8
3,1,Those Lazy-Hazy-Crazy Days,2002-09-24,8.2
3,2,Haunted Leg,2002-10-01,8.1
3,3,Application Anxiety,2002-10-08,7.9
3,4,One's Got Class and the Other One Dyes,2002-10-15,8.1
3,5,Eight O'Clock at the Oasis,2002-10-22,7.9
3,6,Take the Deviled Eggs...,2002-11-05,8.0
3,7,"They Shoot Gilmores, Don't They?",2002-11-12,9.0
3,8,Let the Games Begin,2002-11-19,8.5
3,9,A Deep Fried Korean Thanksgiving,2002-11-26,8.6
3,10,"That'll Do, Pig",2003-01-14,8.1
3,11,I Solemnly Swear,2003-01-21,7.7
3,12,Lorelai Out of Water,2003-01-28,7.7
3,13,Dear Emily and Richard,2003-02-04,8.7
3,14,Swan Song,2003-02-11,8.1
3,15,Face-Off,2003-02-18,8.1
3,16,The Big One,2003-02-25,8.6
3,17,A Tale of Poes and Fire,2003-04-15,8.3
3,18,"Happy Birthday, Baby",2003-04-22,8.1
3,19,Keg! Max!,2003-04-29,8.5
3,20,"Say Goodnight, Gracie",2003-05-06,8.2
3,21,Here Comes the Son,2003-05-13,7.9
3,22,"Those Are Strings, Pinocchio",2003-05-20,9.1
4,1,Ballrooms and Biscotti,2003-09-23,8.1
4,2,The Lorelais' First Day at Yale,2003-09-30,8.7
4,3,"The Hobbit, the Sofa, and Digger Stiles",2003-10-07,8.0
4,4,Chicken or Beef?,2003-10-14,8.1
4,5,The Fundamental Things Apply,2003-10-21,8.1
4,6,An Affair to Remember,2003-10-28,7.9
4,7,The Festival of Living Art,2003-11-04,8.3
4,8,"Die, Jerk",2003-11-11,7.8
4,9,Ted Koppel's Big Night Out,2003-11-18,8.1
4,10,The Nanny and the Professor,2004-01-20,7.9
4,11,In the Clamor and the Clangor,2004-01-27,8.3
4,12,A Family Matter,2004-02-03,8.1
